ID;Name;Region;Sub- or Intermediate Region;#
SH-HL;Saint Helena;Africa;Western Africa;189
SH-AC;Ascension Island;Africa;Western Africa;190
SH-TA;Tristan da Cunha;Africa;Western Africa;191
KNA;Saint Kitts and Nevis;Americas;Caribbean;192
LCA;Saint Lucia;Americas;Caribbean;193
MAF;Saint Martin;Americas;Caribbean;194
SPM;Saint Pierre and Miquelon;Americas;Northern America;195
VCT;Saint Vincent and the Grenadines;Americas;Caribbean;196
WSM;Samoa;Oceania;Polynesia;197
SMR;San Marino;Europe;Southern Europe;198
STP;São Tomé and Príncipe;Africa;Middle Africa;199
SAU;Saudi Arabia;Asia;Western Asia;200
SEN;Senegal;Africa;Western Africa;201
SRB;Serbia;Europe;Southern Europe;202
SYC;Seychelles;Africa;Eastern Africa;203
SLE;Sierra Leone;Africa;Western Africa;204
SGP;Singapore;Asia;South-eastern Asia;205
SXM;Sint Maarten;Americas;Caribbean;206
SVK;Slovakia;Europe;Eastern Europe;207
SVN;Slovenia;Europe;Southern Europe;208
SLB;Solomon Islands;Oceania;Melanesia;209
SOM;Somalia;Africa;Eastern Africa;210
ZAF;South Africa;Africa;Southern Africa;211
SGS;South Georgia and the South Sandwich Islands;Americas;South America;212
SSD;South Sudan;Africa;Eastern Africa;213
ESP;Spain;Europe;Southern Europe;214
LKA;Sri Lanka;Asia;Southern Asia;215
SDN;Sudan;Africa;Northern Africa;216
SUR;Suriname;Americas;South America;217
NO-21;Svalbard;Europe;Northern Europe;218
SJM;Jan Mayen;Europe;Northern Europe;219
SWE;Sweden;Europe;Northern Europe;220
CHE;Switzerland;Europe;Western Europe;221
SYR;Syria;Asia;Western Asia;222
TWN;Taiwan;Asia;Eastern Asia;223
TJK;Tajikistan;Asia;Central Asia;224
TZA;Tanzania;Africa;Eastern Africa;225
THA;Thailand;Asia;South-eastern Asia;226
TLS;East Timor;Asia;South-eastern Asia;227
TGO;Togo;Africa;Western Africa;228
TKL;Tokelau;Oceania;Polynesia;229
TON;Tonga;Oceania;Polynesia;230
TTO;Trinidad and Tobago;Americas;Caribbean;231
TUN;Tunisia;Africa;Northern Africa;232
TUR;Turkey;Asia;Western Asia;233
TKM;Turkmenistan;Asia;Central Asia;234
TCA;Turks and Caicos Islands;Americas;Caribbean;235
TUV;Tuvalu;Oceania;Polynesia;236
UGA;Uganda;Africa;Eastern Africa;237
UKR;Ukraine;Europe;Eastern Europe;238
ARE;United Arab Emirates;Asia;Western Asia;239
ENG;England;Europe;Northern Europe;240
GBR;United Kingdom;Europe;Northern Europe;241
USA;United States;Americas;Northern America;242
UMI;United States Minor Outlying Islands;Oceania;Micronesia;243
URY;Uruguay;Americas;South America;244
UZB;Uzbekistan;Asia;Central Asia;245
VUT;Vanuatu;Oceania;Melanesia;246
VEN;Venezuela;Americas;South America;247
VNM;Vietnam;Asia;South-eastern Asia;248
VGB;British Virgin Islands;Americas;Caribbean;249
VIR;U.S. Virgin Islands;Americas;Caribbean;250
WLF;Wallis and Futuna;Oceania;Polynesia;251
ESH;Western Sahara;Africa;Northern Africa;252
YEM;Yemen;Asia;Western Asia;253
ZMB;Zambia;Africa;Eastern Africa;254
ZWE;Zimbabwe;Africa;Eastern Africa;255
;;;;256
IC;International Conveyance;In;Between;257
;;;;258
XK;Kosovo;Europe;Southern Europe;259
PT-30;Madeira;Africa;Northern Africa;260
ES-ML;Melilla;Africa;Northern Africa;261
GB-NIR;Northern Ireland;Europe;Northern Europe;262
GB-WLS;Wales;Europe;Northern Europe;263
IOT-DG;Diego Garcia;Asia;Southern Asia;264
IOT-CI;Chagos Islands;Asia;Southern Asia;265
ES-CN;Canary Islands;Africa;Northern Africa;266
ES-CE;Ceuta;Africa;Northern Africa;267
;;;;268
NCY;Northern Cyprus;Asia;Western Asia;269
SADR;Sahrawi Arab Democratic Republic;Africa;Northern Africa;270
SCOT;Scotland;Europe;Northern Europe;271
PMR;Transnistria;Europe;Eastern Europe;272
;;;;273
RSO;South Ossetia;Asia;Western Asia;274
ABK;Abkhazia;Asia;Western Asia;275
AMA;Artsakh;Asia;Western Asia;276
RAP;Easter Island;Oceania;Polynesia;277
;;;;278
;;;;279
;;;;280
;;;;281
;;;;282
;;;;283
;;;;284
;;;;285
;;;;286
;;;;287
;;;;288
;;;;289
;;;;290
;;;;291
;;;;292
;;;;293
;;;;294
;;;;295
;;;;296
;;;;297
;;;;298
;;;;299
OPS;octup.us;Europe;Western Europe;300
