Rank;Country (or dependent territory);Population;"% of world
population";Date;Source
92; United Arab Emirates;9,770,529;126 %;1 Jul 2019;UN projection[2]
93; Belarus;9,413,446;121 %;4 Oct 2019;Preliminary 2019 census result[89]
94; Israel;9,166,000;118 %;29 Feb 2020;National population clock[90]
95; Honduras;9,158,345;118 %;1 Jul 2019;National annual projection[91]
96; Tajikistan;9,127,000;117 %;1 Jan 2019;National estimate[92]
97; Papua New Guinea;8,935,000;115 %;2020;National annual projection[93]
98; Austria;8,902,600;115 %;1 Jan 2020;Quarterly provisional figure[94]
99; Switzerland;8,586,550;111 %;30 Sep 2019;National provisional figure[95]
100; Sierra Leone;7,901,454;102 %;1 Jul 2019;National annual projection[96]
101; Togo;7,538,000;0.0970%;1 Jul 2019;National annual projection[97]
–; Hong Kong (China);7,500,700;0.0966%;31 Dec 2019;National estimate[98]
102; Paraguay;7,152,703;0.0921%;1 Jul 2019;National annual projection[99]
103; Laos;7,123,205;0.0917%;1 Jul 2019;National annual projection[100]
104; Bulgaria;7,000,039;0.0901%;31 Dec 2018;National estimate[101]
105; Serbia[l];6,963,764;0.0896%;1 Jan 2019;National annual estimate[102]
106; Lebanon;6,855,713;0.0883%;1 Jul 2019;UN projection[2]
107; Libya;6,777,452;0.0872%;1 Jul 2019;UN projection[2]
108; El Salvador;6,704,864;0.0863%;1 Jul 2019;National annual projection[103]
109; Kyrgyzstan;6,490,300;0.0835%;1 Oct 2019;National estimate[104]
110; Nicaragua;6,460,411;0.0832%;30 Jun 2018;National estimate[105]
111; Turkmenistan;5,942,089;0.0765%;1 Jul 2019;UN projection[2]
112; Denmark;5,822,763;0.0750%;1 Jan 2020;National quarterly estimate[106]
113; Singapore;5,703,600;0.0734%;30 Jun 2019;National estimate[107]
114; Finland;5,527,573;0.0712%;31 Dec 2019;National monthly estimate[108]
115; Central African Republic;5,496,011;0.0707%;1 Jul 2019;National annual projection[109]
116; Slovakia;5,456,362;0.0702%;30 Sep 2019;National estimate[110]
117; Congo;5,380,508;0.0693%;1 Jul 2019;UN projection[2]
118; Norway;5,367,580;0.0691%;1 Jan 2020;National quarterly estimate[111]
119; Costa Rica;5,058,007;0.0651%;30 Jun 2019;National annual projection[112]
120; Palestine;4,976,684;0.0641%;1 Jul 2019;National annual projection[113]
121; New Zealand;4,961,950;0.0639%;29 Feb 2020;National population clock[114]
122; Ireland;4,921,500;0.0634%;1 Apr 2019;National estimate[115]
123; Oman;4,664,790;0.0600%;1 Jan 2020;National estimate[116]
124; Liberia;4,475,353;0.0576%;1 Jul 2019;National projection[117]
125; Kuwait;4,420,110;0.0569%;1 Jan 2019;National annual estimate[118]
126; Panama;4,218,808;0.0543%;1 Jul 2019;National annual projection[119]
127; Mauritania;4,077,347;0.0525%;1 Jul 2019;National annual projection[120]
128; Croatia;4,076,246;0.0525%;31 Dec 2018;National annual estimate[121]
129; Georgia[m];3,723,464;0.0479%;1 Jan 2019;National annual estimate[122]
130; Uruguay;3,518,552;0.0453%;30 Jun 2019;National annual projection[123]
131; Eritrea;3,497,117;0.0450%;1 Jul 2019;UN projection[2]
132; Mongolia;3,305,182;0.0425%;29 Feb 2020;National population clock[124]
133; Bosnia and Herzegovina;3,301,000;0.0425%;1 Jul 2019;UN projection[2]
–; Puerto Rico (US);3,193,694;0.0411%;1 Jul 2019;National estimate[125]
134; Armenia;2,957,500;0.0381%;30 Sep 2019;National quarterly estimate[126]
135; Albania;2,862,427;0.0368%;1 Jan 2019;National annual estimate[127]
136; Lithuania;2,793,350;0.0360%;1 Feb 2020;Monthly national estimate[128]
137; Qatar;2,747,282;0.0354%;30 Sep 2019;Monthly national estimate[129]
138; Jamaica;2,726,667;0.0351%;31 Dec 2018;National estimate[130]
139; Moldova[n];2,681,735;0.0345%;1 Jan 2019;National estimate[131]
140; Namibia;2,458,936;0.0317%;1 Jul 2019;National projection[132]
141; Gambia;2,347,706;0.0302%;1 Jul 2019;UN projection[2]
142; Botswana;2,338,851;0.0301%;1 Jul 2019;National annual projection[133]
143; Gabon;2,172,579;0.0280%;1 Jul 2019;UN projection[2]
144; Slovenia;2,094,060;0.0270%;1 Oct 2019;National estimate[134]
145; North Macedonia;2,077,132;0.0267%;31 Dec 2018;National estimate[135]
146; Lesotho;2,007,201;0.0258%;10 Apr 2016;2016 census result[136]
147; Latvia;1,906,800;0.0245%;1 Feb 2020;Monthly national estimate[137]
–; Kosovo[o];1,795,666;0.0231%;31 Dec 2018;National annual estimate[138]
148; Guinea-Bissau;1,604,528;0.0207%;1 Jul 2019;National annual projection[139]
149; Bahrain;1,543,300;0.0199%;1 Jul 2019;National annual projection[140]
150; East Timor;1,387,149;0.0179%;1 Jul 2019;National annual projection[141]
151; Trinidad and Tobago;1,363,985;0.0176%;30 Jun 2019;National estimate[142]
152; Equatorial Guinea;1,358,276;0.0175%;1 Jul 2018;National estimate[143]
153; Estonia;1,328,360;0.0171%;1 Jan 2020;National estimate[144]
154; Mauritius;1,265,985;0.0163%;1 Jul 2019;National estimate[145]
155; Eswatini;1,093,238;0.0141%;11 May 2017;National census result[146]
156; Djibouti;1,078,373;0.0139%;1 Jul 2019;National annual projection[147]
157; Fiji;884,887;0.0114%;17 Sep 2017;National census result[148]
158; Cyprus;875,900;0.0113%;31 Dec 2018;National annual estimate[149]
159; Comoros;873,724;0.0112%;1 Jul 2019;National estimate[150]
160; Guyana;782,766;0.0101%;1 Jul 2019;UN projection[2]
161; Bhutan;741,672;0.00955%;1 Jul 2019;National annual projection[151]
162; Solomon Islands;680,806;0.00876%;1 Jul 2019;National annual projection[152]
–; Macau (China);676,100;0.00870%;30 Sep 2019;National quarterly estimate[153]
163; Montenegro;622,359;0.00801%;1 Jan 2018;National estimate[154]
164; Luxembourg;613,894;0.00790%;1 Jan 2019;National estimate[155]
–; Western Sahara[p];582,463;0.00750%;1 Jul 2019;UN projection[2]
165; Suriname;581,372;0.00748%;1 Jul 2019;UN projection[2]
166; Cape Verde;550,483;0.00709%;1 Jul 2019;National annual projection[156]
167; Malta;493,559;0.00635%;31 Dec 2018;National estimate[157]
–; Transnistria[q];469,000;0.00604%;1 Jan 2018;National estimate[158]
168; Brunei;442,400;0.00569%;1 Jul 2018;National estimate[159]
169; Belize;408,487;0.00526%;1 Jul 2019;National estimate[160]
170; Bahamas;385,340;0.00496%;1 Jul 2019;National annual projection[161]
171; Maldives;374,775;0.00482%;31 Dec 2018;National annual estimate[162]
172; Iceland;364,260;0.00469%;31 Dec 2019;National quarterly estimate[163]
—; Northern Cyprus[r];351,965;0.00453%;31 Dec 2017;National estimate[164]
173; Vanuatu;304,500;0.00392%;1 Jul 2018;National annual estimate[93]
174; Barbados;287,025;0.00369%;1 Jul 2019;UN projection[2]
–; New Caledonia (France);282,200;0.00363%;1 Jan 2018;National annual estimate[165]
–; French Polynesia (France);275,918;0.00355%;17 Aug 2017;2017 census results[166]
–; Abkhazia[s];244,832;0.00315%;1 Jan 2018;National estimate[167]
175; São Tomé and Príncipe;201,784;0.00260%;1 Jul 2018;National estimate[168]
176; Samoa;200,874;0.00259%;1 Jul 2019;National projection[169]
177; Saint Lucia;178,696;0.00230%;1 Jul 2018;National annual estimate[170]
–; Guam (US);172,400;0.00222%;1 Jul 2018;National annual estimate[93]
–; Curaçao (Netherlands);158,665;0.00204%;1 Jan 2019;National annual estimate[171]
–; Artsakh[t];148,000;0.00191%;1 Jan 2019;National annual estimate[172]
178; Kiribati;120,100;0.00155%;1 Jul 2018;National annual estimate[93]
–; Aruba (Netherlands);112,309;0.00145%;31 Mar 2019;National quarterly estimate[173]
179; Grenada;112,003;0.00144%;1 Jul 2019;UN projection[2]
180; Saint Vincent and the Grenadines;110,608;0.00142%;1 Jul 2019;National estimate[174]
–; Jersey (UK);106,800;0.00137%;31 Dec 2018;National estimate[175]
–; U.S. Virgin Islands (US);104,578;0.00135%;1 Jul 2019;UN projection[2]
181; F.S. Micronesia;104,468;0.00134%;1 Jul 2019;National annual projection[176]
182; Tonga;100,651;0.00130%;30 Nov 2016;2016 census result[177]
183; Seychelles;97,625;0.00126%;30 Jun 2019;National estimate[178]
184; Antigua and Barbuda;96,453;0.00124%;1 Jul 2019;National annual projection[179]
–; Isle of Man (UK);83,314;0.00107%;24 Apr 2016;2016 census result[180]
185; Andorra;77,543;0.000998%;31 Dec 2019;National estimate[181]
186; Dominica;71,808;0.000924%;1 Jul 2019;UN projection[2]
–; Cayman Islands (UK);65,813;0.000847%;31 Dec 2018;National estimate[182]
–; Bermuda (UK);64,027;0.000824%;1 Jul 2019;National annual projection[183]
–; Guernsey (UK);62,792;0.000808%;31 Mar 2019;National estimate[184]
–; American Samoa (US);56,700;0.000730%;1 Jul 2018;National annual estimate[93]
–; Greenland (Denmark);56,081;0.000722%;1 Jan 2020;National estimate[185]
–; Northern Mariana Islands (US);56,200;0.000723%;1 Jul 2018;National annual estimate[93]
187; Marshall Islands;55,500;0.000714%;1 Jul 2018;National annual estimate[93]
–; South Ossetia[u];53,532;0.000689%;15 Oct 2015;Preliminary 2015 census result[186]
188; Saint Kitts and Nevis;52,823;0.000680%;1 Jul 2019;UN projection[2]
–; Faroe Islands (Denmark);52,124;0.000671%;1 Jan 2020;Monthly national estimate[187]
–; Turks and Caicos Islands (UK);41,369;0.000533%;1 Jul 2018;National estimate[188]
–; Sint Maarten (Netherlands);40,614;0.000523%;1 Jan 2018;National estimate[189]
189; Liechtenstein;38,557;0.000496%;30 Jun 2019;National semi annual estimate[190]
190; Monaco;38,300;0.000493%;31 Dec 2018;National annual estimate[191]
–; Saint Martin (France);35,746;0.000460%;1 Jan 2016;National estimate[192]
–; Gibraltar (UK);33,701;0.000434%;1 Jul 2019;UN projection[2]
191; San Marino;33,574;0.000432%;31 Dec 2019;National monthly estimate[193]
–; British Virgin Islands (UK);30,030;0.000387%;1 Jul 2019;UN projection[2]
–; Åland Islands (Finland);29,789;0.000383%;31 Dec 2018;National annual estimate[194]
192; Palau;17,900;0.000230%;1 Jul 2018;National annual estimate[93]
–; Cook Islands (NZ);15,200;0.000196%;1 Jul 2018;National annual estimate[93]
–; Anguilla (UK);14,869;0.000191%;1 Jul 2019;UN projection[2]
–; Wallis and Futuna (France);11,700;0.000151%;1 Jul 2018;National annual estimate[93]
193; Nauru;11,000;0.000142%;1 Jul 2018;National annual estimate[93]
194; Tuvalu;10,200;0.000131%;1 Jul 2018;National annual estimate[93]
–; Saint Barthélemy (France);9,793;0.000126%;1 Jan 2016;National estimate[195]
–; Saint Pierre and Miquelon (France);6,008;0.0000773%;1 Jan 2016;National estimate[196]
–;" Saint Helena, Ascension
and Tristan da Cunha (UK)";5,633;0.0000725%;7 Feb 2016;2016 census result[197]
;;;;;
–; Montserrat (UK);4,989;0.0000642%;1 Jul 2019;UN projection[2]
–; Falkland Islands (UK);3,198;0.0000412%;9 Oct 2016;2016 census result[198]
–; Christmas Island (Australia);1,928;0.0000248%;30 Jun 2018;National estimate[199]
–; Norfolk Island (Australia);1,756;0.0000226%;30 Jun 2018;National estimate[199]
–; Niue (NZ);1,520;0.0000196%;1 Jul 2018;National annual estimate[93]
–; Tokelau (NZ);1,400;0.0000180%;1 Jul 2018;National annual estimate[93]
195; Vatican City;799;0.0000103%;1 Jul 2019;UN projection[2]
–; Cocos (Keeling) Islands (Australia);538;0.00000693%;30 Jun 2018;National estimate[199]
–; Pitcairn Islands (UK);50;0.000000644%;1 Jan 2019;National estimate[200]
; England;55.977.178;;;
;French Guiana;;;;
;;;;;
;;;;;
;;;;;
;Bonaire;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;Saba;;;;
